

	Week starting on...	3/1	3/8	3/15	3/22	4/1	4/8	4/15	4/22	5/1	5/8	5/15	5/22
	# checklists reporting species - (2006)	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	1	2
	# checklists reporting species - (2007)	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0.0	0.0	1	0.0
	# checklists reporting species - (2008)	0.0	0.0	1	2	1	3	2	4	3	0.0	2	1
	
Totals
	2004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0
	2006	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0
	2007	0.0	0.0	0.0	0.0	0.0	0.0	12	100	0.0	0.0	200	0.0
	2008	0.0	0.0	1	0	1	0	20	75	1	0.0	2	0
	# checklists reporting species - (2004)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2005)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0
	# checklists reporting species - (2006)	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0
	# checklists reporting species - (2007)	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0.0	0.0	1	0.0
	# checklists reporting species - (2008)	0.0	0.0	1	0	1	0	1	2	1	0.0	1	0
	
Average Count
	2004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2007	0.0	0.0	0.0	0.0	0.0	0.0	12.0	100.0	0.0	0.0	200.0	0.0
	2008	0.0	0.0	1.0	0.0	1.0	0.0	20.0	37.5	1.0	0.0	2.0	0.0
	# checklists reporting species - (2004)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2005)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0
	# checklists reporting species - (2006)	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0
	# checklists reporting species - (2007)	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0.0	0.0	1	0.0
	# checklists reporting species - (2008)	0.0	0.0	1	0	1	0	1	2	1	0.0	1	0
	
