

	Week starting on...	1/1	1/8	1/15	1/22	2/1	2/8	2/15	2/22	3/1	3/8	3/15	3/22	4/1	4/8	4/15	4/22	5/1	5/8	5/15	5/22	6/1	6/8	6/15	6/22	7/1	7/8	7/15	7/22	8/1	8/8	8/15	8/22	9/1	9/8	9/15	9/22	10/1	10/8	10/15	10/22	11/1	11/8	11/15	11/22	12/1	12/8	12/15	12/22
	Total # checklists submitted - (2008)	1	0.0	0.0	0.0	2	1	0.0	0.0	0.0	4	3	4	5	1	3	3	3	2	1	0	1	0.0	1	8	4	1	1	3	1	0.0	0	1	0.0	0	0.0	0.0	0.0	1	1	0	0.0	0.0	2	1	0.0	0.0	0	0.0
	
Abundance
	2004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6666666666666666	0.0	0.0	0.0	0.0	0.0
	2005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	2.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.666666666666668	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.5	22.5	0.0	16.666666666666668	0.0	0.0	0.0	0.5	42.857142857142854	70.0	0.0	922.0	300.0	100.0	0.0	2800.0	0.0	0.0	1.0	50.0	1000.0	0.0	0.0	30.0	0.0	11.0	26.5	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.5	8.5	5.5	57.75	112.66666666666667	20.0	36.0	40.0	38.0	79.66666666666667	0.0	1.0	0.0	0.0	8.5	0.0	807.0	0.0	1000.0	21.0	53.333333333333336	8.0	0.0	1.0	50.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	22.25	0.0	2.0	8.0	6.666666666666667	0.3333333333333333	12.5	0.0	0.0	0.0	0.0	0.0	283.125	40.5	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	Total # checklists submitted - (2004)	2	0.0	1	2	1	1	2	1	1	1	1	1	1	6	0.0	6	1	1	3	3	1	0.0	1	1	1	3	0	4	1	3	3	5	1	1	0.0	1	1	4	3	3	1	2	3	0.0	2	2	1	0
	Total # checklists submitted - (2005)	1	1	0.0	1	1	1	1	1	0.0	1	1	0	2	0.0	4	3	2	0	3	2	2	2	0.0	1	0.0	3	1	2	1	2	2	4	1	1	0.0	2	1	1	1	1	3	0.0	1	1	1	2	1	2
	Total # checklists submitted - (2006)	1	1	0	0.0	1	1	2	2	0.0	1	0	4	2	0.0	3	2	2	2	2	7	1	2	5	2	4	1	1	3	1	1	2	1	1	2	2	1	4	4	1	1	2	1	1	1	1	0.0	0	3
	Total # checklists submitted - (2007)	2	1	1	2	1	1	1	1	1	2	2	4	2	4	3	1	2	2	1	3	1	1	0.0	2	2	0	3	1	2	1	6	1	0.0	1	1	0.0	1	1	0	0	1	1	1	1	0.0	0	0	1
	Total # checklists submitted - (2008)	1	0.0	0.0	0.0	2	1	0.0	0.0	0.0	4	3	4	5	1	3	3	3	2	1	0	1	0.0	1	8	4	1	1	3	1	0.0	0	1	0.0	0	0.0	0.0	0.0	1	1	0	0.0	0.0	2	1	0.0	0.0	0	0.0
	
Birds Per Party Hour
	2004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.04016620498615	14.33974358974359	0.0	16.666666666666668	0.0	0.0	23.25	0.2	44.357142857142854	28.0	0.0	3415.016666666667	300.0	80.11999040076793	0.0	1120.0	0.0	0.0	58.8235294117647	33.333333333333336	333.3333333333333	0.0	0.0	20.0	0.0	5.333333333333333	27.80952380952381	13.333333333333334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.555555555555555	6.142857142857143	2.933333333333333	22.507936507936506	49.571979670565185	13.333333333333334	20.0	20.0	9.5	36.666666666666664	0.0	0.0	0.0	0.0	17.0	0.0	407.53333333333336	0.0	500.0	3.8181818181818183	25.625	16.0	0.0	1.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5714285714285714	0.0
	2008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26089225150013046	0.0	15.571428571428571	0.0	0.0	6.0	5.595238095238095	0.5	83.33333333333333	0.0	0.0	0.0	0.0	0.0	80.44773519163763	26.62382242870048	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.66666666666667	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2004)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	2	0.0	0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	1	0.0	0.0	0.0	0	0.0	0	0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2005)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0.0	2	0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0	0.0	0.0	0	1	0.0	0	0	0	0.0	0.0	0.0
	# checklists reporting species - (2006)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	2	0.0	1	0	0	1	1	2	1	0.0	5	1	2	0	1	0	1	1	1	1	0	0	1	0	3	2	1	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2007)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	1	2	1	3	2	1	1	1	1	3	0	0	0.0	0	1	0.0	2	0	1	1	4	1	0.0	1	1	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
	# checklists reporting species - (2008)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	2	0	0	1	2	1	1	0	0	0	0.0	0.0	5	3	0	0	0	1	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	
High Count
	2004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	3	0.0	1	0.0	0.0	0.0	1	1	0.0	1	0.0	0.0	1	1	0.0	0.0	1	1	1	0.0	0.0	0.0	3	0.0	0.0	0.0	1	0.0	11	2	0.0	0.0	0.0	0.0	0.0
	2005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24	0.0	19	18	1	183	0.0	8	1	0.0	0.0	1	1	261	1	0.0	567	0.0	1	0.0	0.0	2954	1	0.0	1	0.0	1	0.0	828	402	0.0	0.0	222	256	0.0	16	1	1	0.0	0.0	0.0
	2006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50	178	0.0	50	1	27	279	1	300	70	0.0	4000	600	400	1	2800	1	10	1	100	1000	1	1	60	1	24	50	40	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0
	2007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	17	29	11	150	320	20	60	80	38	230	1	1	0.0	1	17	0.0	2300	1	2000	21	110	8	0.0	1	50	0.0	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
	2008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	50	1	2	24	19	1	250	1	1	1	0.0	0.0	2000	150	1	1	1	6	0.0	0.0	1	0.0	1	0.0	0.0	0.0	1	50	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2004)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	4	0.0	3	0.0	0.0	0.0	3	1	0.0	1	0.0	0.0	1	1	0.0	0.0	1	1	1	0.0	0.0	0.0	1	0.0	0.0	0.0	1	0.0	2	1	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2005)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	1	1	1	2	0.0	2	4	0.0	0.0	2	2	2	1	0.0	1	0.0	1	0.0	0.0	1	1	0.0	2	0.0	1	0.0	1	2	0.0	0.0	1	2	0.0	1	1	1	0.0	0.0	0.0
	# checklists reporting species - (2006)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	2	0.0	3	1	2	2	2	8	1	0.0	5	2	4	1	1	2	3	2	2	1	1	1	2	1	4	6	1	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2007)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	3	1	5	3	1	4	2	1	5	1	1	0.0	2	3	0.0	4	1	2	2	6	1	0.0	3	1	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
	# checklists reporting species - (2008)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	4	5	1	2	2	2	2	1	1	1	0.0	0.0	9	4	1	1	3	1	0.0	0.0	1	0.0	1	0.0	0.0	0.0	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	
Totals
	2004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	4	0.0	0	0.0	0.0	0.0	1	0	0.0	0	0.0	0.0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	3	0.0	0.0	0.0	0	0.0	22	2	0.0	0.0	0.0	0.0	0.0
	2005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24	0.0	19	18	0	233	0.0	9	0	0.0	0.0	0	0	261	0	0.0	567	0.0	0	0.0	0.0	2954	0	0.0	0	0.0	0	0.0	828	402	0.0	0.0	222	306	0.0	16	1	1	0.0	0.0	0.0
	2006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62	223	0.0	50	0	27	280	1	312	70	0.0	4751	600	401	0	2800	0	10	2	100	1000	0	0	60	0	44	106	40	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0
	2007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	17	34	11	231	338	20	72	80	38	241	0	1	0.0	0	17	0.0	2421	0	2000	34	320	8	0.0	1	50	0.0	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0
	2008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	89	0	2	24	20	1	275	0	0	0	0.0	0.0	2375	162	0	0	0	6	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0	50	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2004)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	2	0.0	0	0.0	0.0	0.0	1	0	0.0	0	0.0	0.0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	1	0.0	0.0	0.0	0	0.0	2	1	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2005)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	1	1	0	2	0.0	2	0	0.0	0.0	0	0	1	0	0.0	1	0.0	0	0.0	0.0	1	0	0.0	0	0.0	0	0.0	1	1	0.0	0.0	1	2	0.0	1	1	1	0.0	0.0	0.0
	# checklists reporting species - (2006)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	2	0.0	1	0	1	2	1	2	1	0.0	5	1	2	0	1	0	1	2	1	1	0	0	1	0	3	3	1	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2007)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	1	2	1	3	2	1	2	1	1	4	0	1	0.0	0	1	0.0	2	0	1	2	4	1	0.0	1	1	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
	# checklists reporting species - (2008)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	2	0	1	1	2	1	2	0	0	0	0.0	0.0	5	3	0	0	0	1	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	
Average Count
	2004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	11.0	2.0	0.0	0.0	0.0	0.0	0.0
	2005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	19.0	18.0	0.0	116.5	0.0	4.5	0.0	0.0	0.0	0.0	0.0	261.0	0.0	0.0	567.0	0.0	0.0	0.0	0.0	2954.0	0.0	0.0	0.0	0.0	0.0	0.0	828.0	402.0	0.0	0.0	222.0	153.0	0.0	16.0	1.0	1.0	0.0	0.0	0.0
	2006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	111.5	0.0	50.0	0.0	27.0	140.0	1.0	156.0	70.0	0.0	950.2	600.0	200.5	0.0	2800.0	0.0	10.0	1.0	100.0	1000.0	0.0	0.0	60.0	0.0	14.666666666666666	35.333333333333336	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	17.0	11.0	77.0	169.0	20.0	36.0	80.0	38.0	60.25	0.0	1.0	0.0	0.0	17.0	0.0	1210.5	0.0	2000.0	17.0	80.0	8.0	0.0	1.0	50.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
	2008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	44.5	0.0	2.0	24.0	10.0	1.0	137.5	0.0	0.0	0.0	0.0	0.0	475.0	54.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2004)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	2	0.0	0	0.0	0.0	0.0	1	0	0.0	0	0.0	0.0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	1	0.0	0.0	0.0	0	0.0	2	1	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2005)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	1	1	0	2	0.0	2	0	0.0	0.0	0	0	1	0	0.0	1	0.0	0	0.0	0.0	1	0	0.0	0	0.0	0	0.0	1	1	0.0	0.0	1	2	0.0	1	1	1	0.0	0.0	0.0
	# checklists reporting species - (2006)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	2	0.0	1	0	1	2	1	2	1	0.0	5	1	2	0	1	0	1	2	1	1	0	0	1	0	3	3	1	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2007)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	1	2	1	3	2	1	2	1	1	4	0	1	0.0	0	1	0.0	2	0	1	2	4	1	0.0	1	1	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
	# checklists reporting species - (2008)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	2	0	1	1	2	1	2	0	0	0	0.0	0.0	5	3	0	0	0	1	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	
